Aargauer Gold-Hahnenfuß	Ranunculus argoviensis
Acker-Steinsame	Buglossoides arvensis (L.) I. M. Johnst.
Acker-Steinsame	Lithospermum arvense
Acker-Stiefmütterchen	Viola arvensis
Acker-Stiefmütterchen	Viola arvensis Murray
Acker-Täschelkraut	Thlaspi arvense
Acker-Täschelkraut	Thlaspi arvense L.
Acker-Taubnessel	Lamium purpureum
Acker-Taubnessel	Lamium purpureum L.
Acker-Trespe	Bromus arvensis
Acker-Trespe	Bromus arvensis L.
Acker-Trespe	Bromus arvensis subsp. arvensis
Acker-Vergissmeinnicht	Myosotis arvensis
Acker-Vergißmeinnicht	Myosotis arvensis
Acker-Vergissmeinnicht	Myosotis arvensis (L.) Hill
Acker-Vergißmeinnicht	Myosotis arvensis (L.) Hill
Acker-Vergissmeinnicht	Myosotis arvensis Hill
Acker-Vergissmeinnicht	Myosotis arvensis subsp. arvensis
Acker-Wachtelweizen	Melampyrum arvense
Acker-Wachtelweizen	Melampyrum arvense L.
Acker-Waldmeister	Asperula arvensis
Acker-Waldmeister	Asperula arvensis L.
Acker-Waldnelke	Silene noctiflora
Acker-Waldnelke	Silene noctiflora L.
Acker-Winde	Convolvulus arvensis
Acker-Winde	Convolvulus arvensis L.
Acker-Winde	Convulvulus arvensis
Acker-Windhalm	Apera spica-venti
Acker-Windhalm	Apera spica-venti (L.) P. Beauv.
Acker-Witwenblume	Knautia arvensis
Acker-Witwenblume	Knautia arvensis (L.) Coult.
Acker-Zackenschötchen	Bunias erucago
Acker-Zackenschötchen	Bunias erucago L.
Acker-Zahntrost	Odontites vernus
Acker-Ziest	Stachys annua
Acker-Ziest	Stachys annua (L.) L.
Acker-Ziest	Stachys arvensis
Acker-Ziest	Stachys arvensis (L.) L.
Ackerbohn	Vicia faba
Ackerbohn	Vicia faba L.
Ackerbohne	Vicia faba
Ackerbohne	Vicia faba L.
Ackerbohne	Vicia faba var. minuta
Ackerdistel	Cirsium arvense
Ackerdistel	Cirsium arvense (L.) Scop.
Ackerehrenpreis	Veronica agrestis
Ackerehrenpreis	Veronica agrestis L.
Ackerfilzkraut	Filago arvensis
Ackerfilzkraut	Filago arvensis L.
Ackerfrauenmantel	Alchemilla arvensis
Ackerfrauenmantel	Aphanes
Ackerfrauenmantel	Aphanes arvensis
Ackerfrauenmantel	Aphanes arvensis L.
Ackerfuchsschwanz	Alopecurus myosuroides
Ackerfuchsschwanz	Alopecurus myosuroides Huds.
Ackerfuchsschwanz	Amaranthus retroflexus
Ackerfuchsschwanzgras	Alopecurus myosuroides
Ackerfuchsschwanzgras	Alopecurus myosuroides Huds.
Ackergänsedistel	Sonchus arvensis
Ackergänsedistel	Sonchus arvensis L.
Ackergänsedistel	Sonchus arvensis L. s.l.
Ackergauchheil	Anagallis arvensis
Ackergauchheil	Anagallis arvensis L.
Ackerglockenblume	Campanula rapunculoides
Ackerglockenblume	Campanula rapunculoides L.
Ackergoldstern	Gagea villosa
Ackergoldstern	Gagea villosa (M. Bieb.) Sweet
Ackerhaftdolde	Caucalis platycarpos
Ackerhaftdolde	Caucalis platycarpos L.
Ackerhahnenfuß	Ranunculus arvensis
Ackerhahnenfuß	Ranunculus arvensis L.
Ackerhellerkraut	Thlaspi arvense
Ackerhellerkraut	Thlaspi arvense L.
Ackerhundspetersilie	Aethusa cynapium
Ackerhundspetersilie	Aethusa cynapium subsp. cynapium L.
Ackerkamille	Anthemis arvensis
Ackerkleinling	Anagallis minima
Ackerkleinling	Anagallis minima (L.) E. H. L. Krause
Ackerklettenkerbel	Torilis arvensis
Ackerklettenkerbel	Torilis arvensis (Huds.) Link
Ackerknoblauch	Allium ampeloprasum
Ackerknoblauch	Allium ampeloprasum var. ampeloprasum
Ackerknorpelkraut	Polycnemum arvense
Ackerknorpelkraut	Polycnemum arvense L.
Ackerkohl	Conringia
Ackerkohl	Conringia orientalis
Ackerkohl	Conringia orientalis (L.) Dumort.
Ackerkratzdistel	Cirsium arvense
Ackerkratzdistel	Cirsium arvense (L.) Scop.
Ackerkrummhals	Anchusa arvensis
Ackerkrummhals	Anchusa arvensis (L.) M. Bieb. s. l.
Ackerlauch	Anagallis arvensis
Ackerleinkraut	Linaria arvensis
Ackerleinkraut	Linaria arvensis (L.) Desf.
Ackerlichtnelke	Silene noctiflora
Ackerlichtnelke	Silene noctiflora L.
Ackerlöwenmaul	Misopates
Ackerlöwenmaul	Misopates orontium
Ackerlöwenmaul	Misopates orontium (L.) Raf.
Ackermeier	Asperula arvensis
Ackermeier	Asperula arvensis L.
Ackerminze	Mentha arvensis
Ackerminze	Mentha arvensis L.
Ackernelke	Silene noctiflora
Ackernelke	Silene noctiflora L.
Ackernüsschen	Neslia paniculata
Ackernüsschen	Neslia paniculata (L.) Desv.
Ackernüsschen	Neslia paniculata (L.) Desv. s.str.
Ackerquecke	Elymus repens
Ackerquecke	Elymus repens subsp. repens
Ackerringelblume	Calendula arvensis
Ackerringelblume	Calendula arvensis L.
Ackerrittersporn	Consolida
Ackerrittersporn	Consolida regalis
Ackerröte	Sherardia
Ackerröte	Sherardia arvensis
Ackerröte	Sherardia arvensis L.
Ackerschachtelhalm	Equisetum arvense
Ackerschmalwand	Arabidopsis thaliana
Ackerschmalwand	Arabidopsis thaliana (L.) Heynh.
Ackersenf	Sinapis arvensis
Ackersenf	Sinapis arvensis L.
Ackerspark	Spergula arvensis
Ackerspark	Spergula arvensis L.
Ackerstiefmütterchen	Viola arvensis
Ackerstiefmütterchen	Viola arvensis Murray
Ackertäschelkraut	Thlaspi arvense
Ackertäschelkraut	Thlaspi arvense L.
Ackertaubnessel	Lamium purpureum
Ackertaubnessel	Lamium purpureum L.
Ackertrespe	Bromus arvensis
Ackertrespe	Bromus arvensis L.
Ackervergissmeinnicht	Myosotis arvensis
Ackervergißmeinnicht	Myosotis arvensis
Ackervergißmeinnicht	Myosotis arvensis (L.) Hill
Ackervergissmeinnicht	Myosotis arvensis Hill
Ackerwachtelweizen	Melampyrum arvense
Ackerwachtelweizen	Melampyrum arvense L.
Ackerwicke	Vicia sativa
Ackerwicke	Vicia sativa subsp. sativa
Ackerwinde	Convolvulus arvensis
Ackerwinde	Convolvulus arvensis L.
Ackerwindhalm	Apera spica-venti
Ackerwindhalm	Apera spica-venti (L.) P. Beauv.
Ackerziest	Stachys arvensis
Ackerziest	Stachys arvensis (L.) L.
Acokanthera	Acokanthera oblongifolia
Acoraceae	Kalmusgewächse
Adamsapfel	Citrus maxima
Adelgras	Plantago alpina
Adelgras	Plantago alpina L.
Ades Mehlbeere	Sorbus adeana
Adlerfarn	Pteridium
Adlerfarn	Pteridium aquilinium
Adlerfarn	Pteridium aquilinum
Adlerfarn	Pteridium aquilinum (L.) Kuhn
Adlerfarn	Pteridium aquilinum subsp. aquilinum
Adlerfarngewächse	Dennstaedtiaceae
Adlerfarngewächse	Hypolepidaceae
Adlerholz	Aquilaria malaccensis
Adonisröschen	Adonis
Adonisröschen	Adonis vernalis
Adoxaceae	Moschuskrautgewächse
Adria Glockenblume	Campanula garganica
Adria-Glockenblume	Campanula fenestrellata
Adria-Glockenblume	Campanula portenschlagiana
Adria-Glockenblume	Campanula portenschlagiana Schult.
Adria-Glockenblume	Campanula portenschlagiana Schultes
Adria-Riemenzunge	Himantoglossum adriaticum
Adria-Riemenzunge	Himantoglossum adriaticum H. Baumann
Adriatisches Habichtskraut	Hieracium visianii
Adventsstern	Euphorbia pulcherrima
Adzukibohne	Vigna angularis
Adzukibohne	Vigna angularis var. angularis
Aeschynanthus	Aeschynanthus radicans
Affen-Knabenkraut	Orchis simia
Affen-Knabenkraut	Orchis simia Lam.
Affen-Orchis	Orchis simia
Affen-Orchis	Orchis simia Lam.
Affenbrotbaum	Adansonia digitata
Affenknabenkraut	Orchis simia
Affenknabenkraut	Orchis simia Lam.
Affenseife	Enterolobium cyclocarpum
Affodilgewächse	Asphodelaceae
Affodill	Asphodelus albus
Affodill	Asphodelus albus Mill.
Affodillgewächse	Asphodelaceae
Affodillgewächse	Asphodeloideae
afghanischer Schöterich	Erysimum perofskianum
afrikanische Aubergine	Solanum macrocarpon
afrikanische Meerviole	Strigosella africana
afrikanische Ölpalme	Elaeis guineensis
Afrikanische Ölpalme	Elaeis guineensis Jacq.
Afrikanische Schmucklilie	Agapanthus umbellatus
Afrikanische Tamariske	Tamarix africana
afrikanische Wicke	Lathyrus tingitanus
Afrikanischer Butterbaum	Butyrospermum parkii
Afrikanischer Faulbaum	Rhamnus prinoides
afrikanischer Kinobaum	Pterocarpus erinaceus
Afrikanischer Mahagonibaum	Khaya senegalensis
Afrikanischer Räucher-Salbei	Salvia repens
Afrikanischer Räucher-Salbei	Salvia repens var. repens
afrikanischer Reis	Oryza glaberrima
Afrikanischer Rosmarin	Eriocephalus africanus
Afrikanischer Tabak	Nicotiana africana
afrikanischer Tulpenbaum	Spathodea campanulata
afrikanisches Federborstengras	Pennisetum macrourum
afrikanisches Lampenputzergras	Pennisetum setaceum
Afrikanisches Liebesgras	Eragrostis curvula
Afrikanisches Liebesgras	Eragrostis curvula (Schrad.) Nees
afrikanisches Mahagoni	Ricinodendron heudelotii
afrikanisches Schöngift	Acokanthera oblongifolia
Afrikanisches Strauchbasilikum	Ocimum kilimandscharicum
Afrikanisches Strauchbasilikum	Ocimum kilimandscharicum x basilicum purpurascens 'African Blue'
Afrikanisches Traumkraut	Entada rheedei
Afrikanisches Ziegenblatt	Turraea heterophylla
Afrikanischs Lampenputzergras	Pennisetum macrourum
Afrogelbholz	Afrocarpus gracilior
Afzelia	Afzelia africana
Aga-Kröte	Bufo marinus
Aga-Kröte	Bufo marinus = Rhinella marina
Agapanthus	Agapanthus praecox
Agastachen	Agastache
Agave	Agave americana
Agave	Agave americana L.
Agave	Agave americana var. americana
Agave	Agave cantula
Agave	Agave victoriae-reginae
Agavenblättrige Mannstreu	Eryngium agavifolium
Agavengewächse	Agavaceae
ageratumblättrige Schafgarbe	Achillea ageratifolia
Ageratumblättrige Silber-Garbe	Achillea ageratifolia
Ageratumdost	Eupatorium aromaticum
aggr. Rauhhaarige Brombeeren	Rubus hirtus
aggr. Rauhhaarige Brombeeren	Rubus hirtus Waldst. & Kit.
aggr. Rot-Schwingel	Festuca rubra
aggr. Rot-Schwingel	Festuca rubra L.
aggr. Schaf-Schwingel	Festuca ovina
aggr. Schaf-Schwingel	Festuca ovina L.
Agrogelbholz	Afrocarpus falcatus
ägyptische Lotosblume	Nymphaea lotus
ägyptische Seerose	Nymphaea caerulea
ägyptische Seerose	Nymphaea lotus
ägyptische Zwiebel	Allium x proliferum
ägyptischer Lotus	Nymphaea caerulea
ägyptischer Lotus	Nymphaea lotus
Ägyptisches Bilsenkraut	Hyoscyamus muticus
Ägyptisches Strauchbasilikum	Ocimum basilicum
Ägyptisches Strauchbasilikum	Ocimum basilicum 'Ägypten'
Ahlbeere	Ribes nigrum
Ahlkirsche	Prunus padus
Ahlkirsche	Prunus padus L.
Ahorn	Acer
Ahorn	Acer capillipes
Ahorn	Acer carpinifolium
Ahorn	Acer cissifolium
Ahorn	Acer crataegifolium
Ahorn	Acer japonicum
Ahorn	Acer maximowiczianum
Ahorn	Acer pensylvanicum
Ahorn	Acer rufinerve
Ahorn	Acer shirasawanum
Ahorn	Acer sieboldianum
Ahorn	Acer tataricum
Ahorn	Acer tataricum subsp. ginnala
Ahorn	Acer tataricum subsp. tataricum
Ahorn	Acer triflorum
Ahornblättriger Flaschenbaum	Brachychiton acerifolius
Ahorngewächse	Aceraceae
Ähren-Ehrenpreis	Veronica spicata
Ähren-Goldhafer	Trisetum spicatum
Ähren-Goldhafer	Trisetum spicatum (L.) K. Richt.
Ähren-Goldhafer	Trisetum spicatum subsp. ovatipaniculatum
Ähren-Goldhafer	Trisetum spicatum subsp. ovatipaniculatum Hultén ex Jonsell
Ähren-Grannenhafer	Trisetum spicatum
Ähren-Hainsimse	Luzula spicata
Ähren-Hainsimse	Luzula spicata (L.) DC.
Ähren-Läusekraut	Pedicularis rostratospicata
Ähren-Minze	Mentha spicata
Ähren-Minze	Mentha spicata subsp. spicata
Ähren-Rapunzel	Phyteuma spicatum
Ähren-Rapunzel	Phyteuma spicatum L.
Ähren-Schuppenried	Kobresia myosuroides
Ähren-Tausendblatt	Myriophyllum spicatum
Ährengoldhafer	Trisetum spicatum
Ährengoldhafer	Trisetum spicatum (L.) K. Richt.
Ährengoldhafer	Trisetum spicatum subsp. ovatipaniculatum Hultén ex Jonsell
Ährengrasähnliche Trespe	Bromus catharticus
Ährengrasähnliche Trespe	Bromus catharticus M. Vahl
Ährenhafer	Gaudinia
Ährenhafer	Gaudinia fragilis
Ährenhafer	Gaudinia fragilis (L.) P. Beauv.
Ährenhainsimse	Luzula spicata
Ährenhainsimse	Luzula spicata (L.) DC.
Ährenheide	Bruckenthalia spiculifolia
Ährige Edelraute	Artemisia genipi
Ährige Edelraute	Artemisia genipi Weber
Ährige Felsenbirne	Amelanchier spicata
Ährige Glockenblume	Campanula spicata
Ährige Glockenblume	Campanula spicata L.
Ährige Hainsimse	Luzula spicata
Ährige Hainsimse	Luzula spicata (L.) DC.
Ährige Hainsimse	Luzula spicata (L.) DC. s.l.
Ährige Hainsimse	Luzula spicata (L.) DC. s.str.
ährige Johannisbeere	Ribes spicatum
Ährige Minze	Mentha spicata
Ährige Minze	Mentha spicata aggr.
Ährige Minze	Mentha spicata L.
Ährige Prachtscharte	Liatris cylindracea
ährige Prachtscharte	Liatris spicata
Ährige Rapunzel	Phyteuma spicatum
Ährige Rapunzel	Phyteuma spicatum L.
Ährige Scheinhasel	Corylopsis spicata
Ährige Teufelskralle	Phyteuma spicatum
Ährige Teufelskralle	Phyteuma spicatum agg.
Ährige Teufelskralle	Phyteuma spicatum subsp. spicatum
Ähriger Blauweiderich	Pseudolysimachion spicatum
