Aargauer Gold-Hahnenfuß	Ranunculus argoviensis
Graben-Veilchen	Viola persicifolia
Gräben-Veilchen	Viola persicifolia
Graben-Veilchen	Viola persicifolia auct.
Grabowskis Brombeere	Rubus grabowskii
Grabowskis Brombeere	Rubus grabowskii Weihe
Grajisches Hornkraut	Cerastium lineare
Grajisches Hornkraut	Cerastium lineare All.
Granatapfel	Punica granatum
Granatapfelbaum	Punica granatum
Granatapfelbaum	Punica granatum L.
Granatapfelstrauch	Punica granatum
Granit-Steinbrech	Saxifraga cotyledon
Granit-Steinbrech	Saxifraga cotyledon L.
Gränke	Andromeda
Grannen-Kiefer	Pinus aristata
Grannen-Klappertopf	Rhinanthus aristatus
Grannen-Klappertopf	Rhinanthus aristatus agg.
Grannen-Klappertopf	Rhinanthus glacialis
Grannen-Klappertopf	Rhinanthus glacialis Personnat
Grannen-Labkraut	Galium aristatum
Grannen-Labkraut	Galium aristatum L.
Grannen-Ruchgras	Anthoxanthum aristatum
Grannen-Ruchgras	Anthoxanthum aristatum Boiss.
Grannen-Schildfarn	Polystichum setiferum
Grannen-Schwarzwurzel	Scorzonera aristata
Grannen-Schwarzwurzel	Scorzonera aristata DC.
Grannen-Segge	Carex atherodes
Grannen-Waldmeister	Asperula aristata
Grannen-Waldmeister	Asperula aristata L. f.
Grannen-Ysop	Hyssopus officinalis
Grannen-Ysop	Hyssopus officinalis ssp. aristatus
Grannenhafer	Trisetum
Grannenhafer	Ventenata
Grannenhirse	Oplismenus undulatifolius
Grannenhirse	Oplismenus undulatifolius (Ard.) Roem. & Schult.
Grannenkiefer	Pinus aristata
Grannenkirsche	Prunus serrulata
Grannenklappertopf	Rhinanthus glacialis
Grannenklappertopf	Rhinanthus glacialis Personnat
Grannenlabkraut	Galium aristatum
Grannenlabkraut	Galium aristatum L.
Grannenlose Scheinbergminze	Pycnanthemum muticum
Grannenlose Trespe	Bromus inermis
Grannenlose Trespe	Bromus inermis aggr.
Grannenlose Trespe	Bromus inermis Leyss.
Grannenreis	Piptatherum paradoxum
Grannenreis	Piptatherum paradoxum (L.) P. Beauv.
Grannenruchgras	Anthoxanthum aristatum
Grannenruchgras	Anthoxanthum aristatum Boiss.
Grapefruit	Citrus paradisi
Grapefruit	Citrus x aurantium
Grapefruit Duftgeranie	Pelargonium 'Toronto'
Gras-Laichkraut	Potamogeton gramineus
Gras-Platterbse	Lathyrus nissolia
Gras-Platterbse	Lathyrus nissolia L.
Gras-Schwertlilie	Iris graminea
Gras-Sternmiere	Stellaria graminea
Gras-Sternmiere	Stellaria graminea L.
Grasartige Federschelle	Stenanthium gramineum
Grasartiger Froschlöffel	Alisma gramineum
Grasartiger Froschlöffel	Alisma gramineum Lej.
Grasartiges Laichkraut	Potamogeton gramineus
Grasartiges Laichkraut	Potamogeton gramineus L.
Grasbaumgewächse	Xanthorrhoeaceae
Grasblättrige Büschelglocke	Edraianthus graminifolius
Grasblättrige Goldrute	Solidago graminifolia
Grasblättrige Goldrute	Solidago graminifolia (L.) Salisb.
Grasblättrige Kresse	Lepidium graminifolium
Grasblättrige Kresse	Lepidium graminifolium L.
Grasblättrige Pflaumenduft-Schwertlilie	Iris graminea
Grasblättrige Platterbse	Lathyrus setifolius
Grasblättrige Platterbse	Lathyrus setifolius L.
grasblättrige Prachtscharte	Liatris pilosa
Grasblättrige Schwertlilie	Iris graminea
Grasblättrige Schwertlilie	Iris graminea L.
Grasblättrige Skabiose	Lomelosia graminifolia
Grasblättrige Skabiose	Lomelosia graminifolia (L.) Greuter & Burdet
Grasblättrige Skabiose	Scabiosa graminifolia
Grasblättrige Sternmiere	Stellaria graminea
Grasblättrige Sternmiere	Stellaria graminea L.
Grasblättriger Froschlöffel	Alisma gramineum
Grasblättriger Froschlöffel	Alisma gramineum Lej.
Grasblättriger Hahnenfuss	Ranunculus gramineus
Grasblättriger Hahnenfuß	Ranunculus gramineus
Grasblättriger Hahnenfuss	Ranunculus gramineus L.
grasblättriger Wasserkelch	Cryptocoryne crispatula
Grasblättriges Hahnenfuss-Hasenohr	Bupleurum ranunculoides
Grasblättriges Hahnenfuss-Hasenohr	Bupleurum ranunculoides subsp. caricinum (DC.) Arcang.
Grasblättriges Hasenohr	Bupleurum ranunculoides
Grasblättriges Hasenohr	Bupleurum ranunculoides subsp. caricinum (DC.) Arcang.
Grasblättriges Krätzkraut	Lomelosia graminifolia
Grasblättriges Krätzkraut	Lomelosia graminifolia (L.) Greuter & Burdet
Grasblättriges Laichkraut	Potamogeton gramineus
Grasblättriges Laichkraut	Potamogeton gramineus L.
grasblättriges Pfeilkraut	Sagittaria graminea
Graslilie	Anthericum
Graslilie	Chlorophytum capense
Grasliliengewächse	Antheriaceae
Grasliliengewächse	Anthericaceae
Grasnelke	Armeria
Grasnelke	Armeria alliacea
Grasnelke	Armeria alliacea var. leucantha
Grasnelke	Armeria maritima
Grasnelkenartige	Plumbaginales
Grasnelkenblättriges Habichtskraut	Hieracium staticifolium
Grasnelkenblättriges Habichtskraut	Hieracium staticifolium All.
Grasnelkenblättriges Habichtskraut	Tolpis staticifolia
Grasnelkengewächse	Plumbaginaceae
Grasplatterbse	Lathyrus nissolia
Grasplatterbse	Lathyrus nissolia L.
Grasschwertel	Sisyrinchium
Grasschwertlilie	Iris graminea
Grasschwertlilie	Sisyrinchium montanum
Grasschwertlilie	Sisyrinchium montanum Greene
Grassternmiere	Stellaria graminea
Grassternmiere	Stellaria graminea L.
Grau-Erle	Alnus incana
Grau-Erle	Alnus incana (L.) Moench
Grau-Heide	Erica cinerea
Grau-Pappel	Populus ×
Grau-Pappel	Populus × canescens
Grau-Pappel	Populus ×canescens
Grau-Pappel	Populus ×canescens (Aiton) Sm.
Grau-Pappel	Populus canescens
Grau-Pappel	Populus canescens (Aiton) Sm.
Grau-Pappel	Populus x canescens
Grau-Raubart	Spodiopogon sibiricus
Grau-Segge	Carex canescens
Grau-Segge	Carex canescens agg.
Grau-Weide	Salix cinerea
Grau-Weide	Salix cinerea agg.
Grau-Weide	Salix cinerea L.
Grau-Weide	Salix cinerea L. s. l.
Grau-Weide	Salix cinerea subsp. cinerea
Grau-Weide	Salix cinerea subsp. cinerea L.
Graubartgras	Spodiopogon sibiricus
Graublättrige Nachtkerze	Oenothera villosa
Graublättrige Skabiose	Scabiosa canescens
Graublättrige Wiesenraute	Thalictrum flavum
Graublättrige Wiesenraute	Thalictrum flavum ssp. glaucum
Graublättriger Löwenzahn	Taraxacum baeckiiforme
Graublättriger Löwenzahn	Taraxacum baeckiiforme Sahlin
Graublättriges Krätzkraut	Scabiosa canescens
Graublättriges Mutterkraut	Tanacetum niveum
Graubündener Lieschgras	Phleum rhaeticum
Graubündener Lieschgras	Phleum rhaeticum (Humphries) Rauschert
Graubündner Lieschgras	Phleum rhaeticum
Graue Glockenheide	Erica cinerea
Graue Glockenheide	Erica cinerea L.
graue Goldrute	Solidago nemoralis
Graue Heide	Erica cinerea
Graue Heide	Erica cinerea L.
graue Kirschmandel	Prunus incana
Graue Kratzdistel	Cirsium canum
Graue Kratzdistel	Cirsium canum (L.) All.
graue Meerviole	Malcolmia maritima
graue Palmlilie	Yucca aloifolia
Graue Seebinse	Schoenoplectus tabernaemontani
Graue Segge	Carex canescens
Graue Segge	Carex canescens L.
Graue Skabiose	Scabiosa canescens
Graue Skabiose	Scabiosa canescens Waldst. & Kit.
Graue Vogel-Wicke	Vicia cracca
Graue Vogel-Wicke	Vicia cracca subsp. incana (Gouan) Rouy
Graue Zistrose	Cistus incanus
Grauer Alpendost	Adenostyles alliariae
Grauer Alpendost	Adenostyles alliariae (Gouan) A. Kern.
Grauer Bastardsenf	Hirschfeldia incana
Grauer Drüsengriffel	Adenostyles alliariae
Grauer Drüsengriffel	Adenostyles alliariae (Gouan) A. Kern.
Grauer Löwenzahn	Gattung Leontodon
Grauer Löwenzahn	Leontodon incanus
Grauer Löwenzahn	Leontodon incanus (L.) Schrank
Grauer Löwenzahn	Leontodon incanus (L.) Schrank s.str.
Grauer Löwenzahn	Leontodon incanus (L.) Schrank subsp. incanus
grauer Schöterich	Erysimum diffusum
Grauer Schwingel	Festuca cinerea
Grauer Schwingel	Festuca cinerea Vill.
Grauer Wanzensame	Corispermum marschallii
Grauer Wanzensame	Corispermum marschallii Steven
Grauerle	Alnus incana
Grauerle	Alnus incana (L.) Moench
Graues Bruchkraut	Herniaria incana
Graues Bruchkraut	Herniaria incana Lam.
graues Felsenblümchen	Draba incana
Graues Felsenblümchen	Draba incana L.
Graues Fingerkraut	Potentilla inclinata
Graues Fingerkraut	Potentilla inclinata Vill.
Graues Greiskraut	Senecio incanus
Graues Greiskraut	Senecio incanus L.
Graues Greiskraut	Senecio incanus L. s.l.
Graues Habichtskraut	Hieracium velutinum
Graues Habichtskraut	Hieracium velutinum Hegetschw.
graues Heiligenkraut	Santolina chamaecyparissus
graues Heiligenkraut	Santolina chamaecyparissus aggr.
Graues Hungerblümchen	Draba incana
Graues Hungerblümchen	Draba incana L.
Graues Kreuzkraut	Senecio incanus
Graues Kreuzkraut	Senecio incanus L.
Graues Milchkraut	Leontodon incanus
Graues Milchkraut	Leontodon incanus (L.) Schrank
Graues Milchkraut	Leontodon incanus (L.) Schrank s.l.
Graues Reitgras	Calamagrostis canescens
Graues Reitgras	Calamagrostis canescens (F. H. Wigg.) Roth
Graues Silber-Fingerkraut	Potentilla neglecta
Graues Sonnenröschen	Helianthemum canum
Graues Sonnenröschen	Helianthemum canum (L.) Baumg.
Graufilzige Frühlings-Schlüsselblume	Primula veris
Graufilzige Frühlings-Schlüsselblume	Primula veris ssp. columnae
Graufilzige Frühlings-Schlüsselblume	Primula veris subsp. columnae (Ten.) Maire & Petitm.
Graufilzige Schlüsselblume	Primula veris
Graufilzige Schlüsselblume	Primula veris subsp. columnae (Ten.) Maire & Petitm.
Graufilziges Sonnenröschen	Helianthemum canum
Graufilziges Sonnenröschen	Helianthemum canum (L.) Hornem.
Grauflaumiges Fingerkraut	Potentilla pusilla
Grauflaumiges Fingerkraut	Potentilla pusilla Host
Graugelbes Filzkraut	Filago lutescens
Graugrüne Borstenhirse	Setaria pumila
Graugrüne Borstenhirse	Setaria pumila (Poir.) Roem. & Schult.
Graugrüne Borstenhirse	Setaria pumila (Poiret) Roem. & Schult.
Graugrüne Nachtkerze	Oenothera canovirens
Graugrüne Nachtkerze	Oenothera canovirens Steele
Graugrüne Quecke	Agropyron intermedium
Graugrüne Quecke	Agropyron intermedium (Host) P. Beauv.
Graugrüne Quecke	Elymus hispidus
Graugrüne Quecke	Elymus hispidus (Opiz) Melderis
graugrüne Quecke	Thinopyrum intermedium
graugrüne Quecke	Thinopyrum intermedium subsp. intermedium
Graugrüne Sternmiere	Stellaria palustris
Graugrüner Gänsefuss	Chenopodium glaucum
graugrüner Gänsefuß	Chenopodium glaucum
Graugrüner Gänsefuss	Chenopodium glaucum L.
Graugrüner Gänsefuß	Chenopodium glaucum L.
Graugrüner Löwenzahn	Taraxacum aquilonare
Graugrüner Löwenzahn	Taraxacum aquilonare Hand.-Mazz.
Graugrüner Löwenzahn	Taraxacum canoviride
Graugrüner Löwenzahn	Taraxacum canoviride H. Lindb. ex Poulanne
Graugrünes Habichtskraut	Hieracium canescens
Graugrünes Habichtskraut	Hieracium canescens Link
Graugrünes Habichtskraut	Hieracium sommerfeltii
Graugrünes Weidenröschen	Epilobium tetragonum
Graugrünes Weidenröschen	Epilobium tetragonum subsp. lamyi
grauhaarige Wucherblume	Tanacetum parthenifolium
Grauhörnchen	Sciurus carolinensis
Graukohl	Hirschfeldia
Graukohl	Hirschfeldia incana
Graukohl	Hirschfeldia incana (L.) Lagr.-Foss.
Graukresse	Berteroa
Graukresse	Berteroa incana
Graukresse	Berteroa incana (L.) DC.
Gräuliche Witwenblume	Knautia subcanescens
Gräuliche Witwenblume	Knautia subcanescens Jord.
Graupappel	Populus canescens
Graupappel	Populus canescens (Aiton) Sm.
Graurispige Brombeere	Rubus poliothyrsus
Graurispige Brombeere	Rubus poliothyrsus A. Beek
Grauscheidiges Federgras	Stipa joannis
Grauscheidiges Federgras	Stipa pennata
Grauscheidiges Federgras	Stipa pennata L. s. str.
Grausenf	Hirschfeldia
Grausenf	Hirschfeldia incana
Grausenf	Hirschfeldia incana (L.) Lagr.-Foss.
Grautanne	Abies concolor
Grauweide	Salix cinerea
Grauweide	Salix cinerea L.
Grauweide	Salix cinerea L. s. l.
Grauweide	Salix cinerea subsp. cinerea L.
Grauzottiges Habichtskraut	Hieracium piliferum
Grauzottiges Habichtskraut	Hieracium piliferum aggr.
Grauzottiges Habichtskraut	Hieracium piliferum Hoppe s.l.
Grauzottiges Habichtskraut	Hieracium piliferum subsp. piliferum
Gravets Brombeere	Rubus gravetii
Gray's Wüstenpetersilie	Lomatium grayi
Gredinger Mehlbeere	Sorbus schuwerkiorum
Greisenhaupt	Cephalocereus senilis
Greiskraut	Curio articulatus
Greiskraut	Jacobaea aquatica
Greiskraut	Jacobaea aquatica var. erratica
Greiskraut	Jacobaea maritima
Greiskraut	Jacobaea vulgaris
Greiskraut	Senecio
Greiskraut	Senecio inaequidens
Greiskraut	Senecio macroglossus
Greiskraut	Senecio sylvaticus
Greiskraut	Senecio vernalis
Greiskraut	Senecio viravira
Greiskraut	Senecio viscosus
Greiskraut	Senecio vulgaris
Greiskraut	Tephroseris
Gremlis Brombeere	Rubus gremlii
Gremlis Brombeere	Rubus gremlii Focke
Gremlis Rose	Rosa gremlii
Gremlis Rose	Rosa gremlii (Christ) Gremli
Gremlis Tragant	Astragalus gremlii
Gremlis Tragant	Astragalus gremlii Burnat
Grenadille	Passiflora foetida
Grenadille	Passiflora laurifolia
Grenadille	Passiflora ligularis
Grenadille	Passiflora maliformis
Grenadille	Passiflora quadrangularis
Grengjer Tulpe	Tulipa grengiolensis
Grengjer Tulpe	Tulipa grengiolensis Thommen
Greniers Berg-Hahnenfuß	Ranunculus grenierianus
Greniers Berg-Hahnenfuß	Ranunculus villarsii
Greniers Berg-Hahnenfuß	Ranunculus villarsii DC.
Greniers Berghahnenfuß	Ranunculus villarsii
Greniers Berghahnenfuß	Ranunculus villarsii DC.
Greniers Hahnenfuss	Ranunculus villarsii
Greniers Hahnenfuß	Ranunculus villarsii
Greniers Hahnenfuss	Ranunculus villarsii DC.
Grenobler Nelke	Dianthus gratianopolitanus
Grenobler Nelke	Dianthus gratianopolitanus Vill.
Gretchen im Busch	Nigella damascena
Gretchen im Busch	Nigella damascena L.
Gretchen-im-Busch	Nigella damascena
Gretchen-im-Busch	Nigella damascena L.
Greuters Ständelwurz	Epipactis greuteri
Greuters Stendelwurz	Epipactis greuteri
Griechische Baumschlinge	Periploca graeca
Griechische Mehlbeere	Sorbus graeca
Griechische Mehlbeere	Sorbus graeca (Spach) Lodd. ex Schauer s. l.
Griechische Mehlbeere	Sorbus graeca (Spach) Lodd. ex Schauer s. str.
Griechische Schafgarbe	Achillea ageratifolia
griechische Tanne	Abies cephalonica
griechischer Amarant	Amaranthus graecizans
Griechischer Bergtee	Sideritis syriaca
Griechischer Bockshornklee	Trigonella foenum-graecum
Griechischer Bockshornklee	Trigonella foenum-graecum L.
Griechischer Fuchsschwanz	Amaranthus graecizans
Griechischer Fuchsschwanz	Amaranthus graecizans L.
Griechischer Fuchsschwanz	Amaranthus graecizans subsp. silvestris
Griechischer Oregano	Origanum vulgare
Griechischer Oregano	Origanum vulgare subspec. hirtum
Griechischer Pippau	Crepis sancta
griechischer Salbei	Salvia fruticosa
Griechischer Salbei	Salvia ringens
griechisches Blaukissen	Aubrieta deltoidea
Griechisches Brandkraut	Phlomis samia
Griffel-Rose	Rosa stylosa
Griffel-Rose	Rosa stylosa Desv.
Griffelrose	Rosa stylosa
Griffelrose	Rosa stylosa Desv.
Griffiths-Wolfsmilch	Euphorbia griffithii
Grigna-Flockenblume	Centaurea grinensis
Grigna-Flockenblume	Centaurea grinensis Reut.
Grigna-Miere	Minuartia grignensis
Grigna-Miere	Minuartia grignensis (Rchb.) Mattf.
Grigna-Primel	Primula grignensis
Grigna-Primel	Primula grignensis D. M. Moser
Grigna-Skabiosen-Flockenblume	Centaurea scabiosa
Grigna-Skabiosen-Flockenblume	Centaurea scabiosa subsp. grinensis (Reut.) Nyman
Grindelie	Grindelia integrifolia
Grindelie	Grindelia robusta
Grobe Brombeere	Rubus perrobustus
Grobe Haselblatt-Brombeere	Rubus grossus
Grobe Haselblatt-Brombeere	Rubus grossus H. E. Weber
Grobe Haselblattbrombeere	Rubus grossus
Grobe Haselblattbrombeere	Rubus grossus H. E. Weber
Grobschlitziger Löwenzahn	Taraxacum vastisectum
Grobschlitziger Löwenzahn	Taraxacum vastisectum Markl. ex Poulanne
Grobzähniger Frauenmantel	Alchemilla grossidens
Grobzähniger Frauenmantel	Alchemilla grossidens aggr.
Grobzähniger Frauenmantel	Alchemilla grossidens Buser
Grönländischer Porst	Ledum groenlandicum
Grönlandmargerite	Arctanthemum arcticum
Gronovius Seide	Cuscuta gronovii
Gronovius Seide	Cuscuta gronovii Willd. ex Roem. & Schult.
GronoviusŽ Seide	Cuscuta gronovii
Grossähriges Liebesgras	Eragrostis cilianensis
Großähriges Liebesgras	Eragrostis cilianensis
Grossähriges Liebesgras	Eragrostis cilianensis (All.) Janch.
Grossähriges Liebesgras	Eragrostis cilianensis (All.) Janchen
Großähriges Liebesgras	Eragrostis cilianensis (All.) Vignolo ex Janch.
Großartige Schwertlilie	Iris magnifica
Großblättrige Aster	Aster macrophyllus
Grossblättrige Brombeere	Rubus macrophyllus
Großblättrige Brombeere	Rubus macrophyllus
Grossblättrige Brombeere	Rubus macrophyllus Weihe & Nees
Großblättrige Brombeere	Rubus macrophyllus Weihe & Nees
großblättrige Damiana	Turnera ulmifolia
großblättrige Feige	Ficus macrophylla
Großblättrige Korallenerbse	Kennedia macrophylla
Großblättrige Magnolie	Magnolia macrophylla
Grossblättrige Margerite	Tanacetum macrophyllum
Grossblättrige Margerite	Tanacetum macrophyllum (Waldst. & Kit.) Sch. Bip.
Grossblättrige Margerite	Tanacetum macrophyllum (Waldst. & Kit.) Sch.-Bip.
großblättrige Ölweide	Elaeagnus macrophylla
Grossblättrige Schafgarbe	Achillea macrophylla
Großblättrige Schafgarbe	Achillea macrophylla
Grossblättrige Schafgarbe	Achillea macrophylla L.
Großblättrige Schafgarbe	Achillea macrophylla L.
Grossblättrige Schefflera	Schefflera actinophylla
Großblättrige Sommer-Linde	Tilia platyphyllos
Großblättrige Sommer-Linde	Tilia platyphyllos subsp. cordifolia
großblättrige Stechpalme	Ilex x altaclerensis
Großblättrige Steineibe	Podocarpus macrophyllus
Großblättrige Strahlenpalme	Licuala grandis
Großblättrige Strahlenpalme	Licuala grandis (hort. ex W. Bull) H. Wendl.
Großblättrige Straußmargerite	Tanacetum macrophyllum
Großblättrige Waldrebe	Clematis heracleifolia
Grossblättrige Weide	Salix appendiculata
Großblättrige Weide	Salix appendiculata
Großblättrige Weide	Salix appendiculata agg.
Grossblättrige Weide	Salix appendiculata Vill.
Großblättrige Weide	Salix appendiculata Vill.
Großblättrige Wucherblume	Tanacetum macrophyllum
Großblättrige Wucherblume	Tanacetum macrophyllum (Waldst. & Kit.) Sch. Bip.
Großblättriger Bartfaden	Penstemon grandiflorus
Großblättriger Basilikum	Ocimum basilicum
Großblättriger Frauenmantel	Alchemilla mollis
Grossblättriger Milchlattich	Cicerbita macrophylla
Großblättriger Milchlattich	Cicerbita macrophylla
Grossblättriger Milchlattich	Cicerbita macrophylla (Willd.) Wallr.
Großblättriger Milchlattich	Cicerbita macrophylla (Willd.) Wallr.
Großblättriger Milchlattich	Cicerbita macrophylla subsp. uralensis
Großblättriger Milchlattich	Cicerbita macrophylla subsp. uralensis (Rouy) P. D. Sell
Großblättriges Greiskraut	Senecio doria
Großblättriges Kaukasus-Vergißmeinicht	Brunnera macrophylla
Großblättriges Kaukasus-Vergißmeinicht	Brunnera macrophylla (Adams) I. M. Johnst.
Großblättriges Kaukasusvergißmeinicht	Brunnera macrophylla
Großblättriges Kaukasusvergißmeinicht	Brunnera macrophylla (Adams) I. M. Johnst.
Großblättriges Kaukasusvergissmeinnicht	Brunnera macrophylla
Großblättriges Kreuzkraut	Senecio grandifolius
Großblättriges Löwenohr	Leonotis nepetifolia
großblättriges Scheinschaumkraut	Pachyphragma macrophyllum
Großblumige Brunsvigie	Brunsvigia grandiflora
Grossblumige Glockenblume	Campanula medium
Grossblumige Glockenblume	Campanula medium L.
großblumige Kokardenblume	Gaillardia x grandiflora
Großblumige Leimsaat	Collomia grandiflora
Großblumige Leimsaat	Collomia grandiflora Lindl.
Großblumige Pfingstrose	Paeonia peregrina
Grossblumige Sternmiere	Stellaria holostea
Grossblumige Sternmiere	Stellaria holostea L.
Großblumiger Duft-Schneeball	Viburnum x carlcephalum
Großblumiger Scheinalant	Telekia speciosa
Großblumiger Ziest	Stachys macrantha
großblumiges Mädchenauge	Coreopsis grandiflora
Großblüten-Wasserpest	Egeria
Grossblüten-Wasserpest	Egeria densa
Großblüten-Wasserpest	Egeria densa
Grossblüten-Wasserpest	Egeria densa Planch.
Grossblütenwasserpest	Egeria densa
Grossblütenwasserpest	Egeria densa Planch.
großblütige Abelie	Abelia x grandiflora
großblütige Ballonblume	Platycodon grandiflorus
Grossblütige Bergminze	Calamintha grandiflora
Großblütige Bergminze	Calamintha grandiflora
Großblütige Bergminze	Calamintha grandiflora 'Variegata'
Grossblütige Bergminze	Calamintha grandiflora (L.) Moench
großblütige Bergminze	Clinopodium grandiflorum
Großblütige Betonie	Betonica grandiflora
Großblütige Braunelle	Prunella grandiflora
Grossblütige Brunelle	Prunella grandiflora
Großblütige Brunelle	Prunella grandiflora
Grossblütige Brunelle	Prunella grandiflora (L.) Scholler
Grossblütige Christrose	Helleborus niger
Grossblütige Christrose	Helleborus niger subsp. macranthus (Freyn) Schiffn.
Großblütige Gämswurz	Doronicum grandiflorum
Großblütige Gemswurz	Doronicum grandiflorum
Großblütige Gemswurz	Doronicum grandiflorum Lam.
Grossblütige Glockenblume	Campanula medium
Grossblütige Glockenblume	Campanula medium L.
Großblütige Glockenblume	Campanula punctata
Großblütige Glockenblume	Campanula punctata f. rubriflora
Großblütige Glockenblume	Campanula takesimana
Grossblütige Hauswurz	Sempervivum grandiflorum
Grossblütige Hauswurz	Sempervivum grandiflorum Haw.
großblütige Heroldstrompete	Beaumontia grandiflora
Grossblütige Kammschmiele	Koeleria macrantha
Großblütige Kammschmiele	Koeleria macrantha
Grossblütige Kammschmiele	Koeleria macrantha (Ledeb.) Schult.
Grossblütige Kammschmiele	Koeleria macrantha (Ledeb.) Schultes
Großblütige Katzenminze	Nepeta grandiflora
Großblütige Katzenminze	Nepeta grandiflora M. Bieb.
Grossblütige Königskerze	Verbascum densiflorum
Großblütige Königskerze	Verbascum densiflorum
Grossblütige Königskerze	Verbascum densiflorum Bertol.
Großblütige Königskerze	Verbascum densiflorum Bertol.
Großblütige Leimsaat	Collomia grandiflora
Großblütige mauretanische Malve	Malva sylvestris
Großblütige mauretanische Malve	Malva sylvestris ssp. Maur.
großblütige Pfeifenwinde	Aristolochia grandiflora
Grossblütige Pyramiden-Kammschmiele	Koeleria macrantha
Grossblütige Pyramiden-Kammschmiele	Koeleria macrantha (Ledeb.) Schult.
großblütige Sockenblume	Epimedium grandiflorum
Grossblütige Sternmiere	Stellaria holostea
Grossblütige Sternmiere	Stellaria holostea L.
Großblütige Strahldolde	Orlaya grandiflora
Grossblütige Taubnessel	Lamium orvala
Grossblütige Taubnessel	Lamium orvala L.
Großblütige Tellima	Tellima grandiflora
Großblütige Vogelmiere	Stellaria neglecta
Großblütige Vogelmiere	Stellaria neglecta Weihe
Grossblütige Wallwurz	Symphytum grandiflorum
Grossblütige Wallwurz	Symphytum grandiflorum DC.
Großblütige Weißdorn-Mispel	Crataemespilus grandiflora
Grossblütige Wicke	Vicia grandiflora
Großblütige Wicke	Vicia grandiflora
Grossblütige Wicke	Vicia grandiflora Scop.
großblütige Windblume	Zephyranthes carinata
Großblütige Wollblume	Verbascum densiflorum
Grossblütiger Aufrechter Ziest	Stachys recta
Grossblütiger Aufrechter Ziest	Stachys recta subsp. grandiflora (Caruel) Arcang.
Großblütiger Augentrost	Euphrasia kerneri
Grossblütiger Breitsame	Orlaya grandiflora
Großblütiger Breitsame	Orlaya grandiflora
Grossblütiger Breitsame	Orlaya grandiflora (L.) Hoffm.
Grossblütiger Fingerhut	Digitalis grandiflora
Großblütiger Fingerhut	Digitalis grandiflora
Grossblütiger Fingerhut	Digitalis grandiflora Mill.
Großblütiger Fingerhut	Digitalis grandiflora Mill.
Grossblütiger Fingerhut	Digitalis grandiflora Miller
Großblütiger Gelber Fingerhut	Digitalis ambigua
Großblütiger Großer Klappertopf	Rhinanthus angustifolius
Großblütiger Großer Klappertopf	Rhinanthus angustifolius subsp. grandiflorus
Großblütiger Löwenzahn	Taraxacum grandiflorum
Großblütiger Löwenzahn	Taraxacum grandiflorum Soest
Grossblütiger Portulak	Portulaca grandiflora
Grossblütiger Portulak	Portulaca grandiflora Hook.
großblütiger Prärieenzian	Eustoma exaltatum
großblütiger Prärieenzian	Eustoma exaltatum subsp. russellianum
Großblütiger Reiherschnabel	Erodium acaule
Großblütiger Rittersporn	Delphinium grandiflorum
Großblütiger Stachelmohn	Argemone grandiflora
Grossblütiger Stechapfel	Datura innoxia
Großblütiger Stechapfel	Datura innoxia
Grossblütiger Stechapfel	Datura innoxia Mill.
Grossblütiger Steinbrech	Saxifraga ×kochii
Grossblütiger Steinbrech	Saxifraga ×kochii Hornung
Grossblütiger Steinbrech	Saxifraga biflora
Grossblütiger Steinbrech	Saxifraga biflora subsp. macropetala (Engl.) Rouy & E. G. Camus
Großblütiger Veilchenstrauch	Iochroma grandiflora
Großblütiger Wiesen-Augentrost	Euphrasia kerneri
Großblütiger Wiesen-Augentrost	Euphrasia kerneri Wettst.
Großblütiger Wiesenaugentrost	Euphrasia kerneri
Großblütiger Wiesenaugentrost	Euphrasia kerneri Wettst.
großblütiger Ziest	Stachys macrantha
Großblütiges Acker-Stiefmütterchen	Viola arvensis
Großblütiges Acker-Stiefmütterchen	Viola arvensis subsp. megalantha
Großblütiges Acker-Stiefmütterchen	Viola arvensis subsp. megalantha Nauenb.
Großblütiges Ackerstiefmütterchen	Viola arvensis
Großblütiges Ackerstiefmütterchen	Viola arvensis subsp. megalantha Nauenb.
Großblütiges Bitterkraut	Picris hieracioides
Großblütiges Bitterkraut	Picris hieracioides subsp. grandiflora
Großblütiges Dreiblatt	Trillium grandiflorum
Grossblütiges Fettblatt	Pinguicula grandiflora
Grossblütiges Fettblatt	Pinguicula grandiflora Lam.
Grossblütiges Fettblatt	Pinguicula grandiflora Lam. s.str.
Grossblütiges Fettblatt	Pinguicula grandiflora Lam. subsp. grandiflora
Grossblütiges Fettkraut	Pinguicula grandiflora
Grossblütiges Fettkraut	Pinguicula grandiflora Lam. subsp. grandiflora
Grossblütiges Fingerkraut	Potentilla grandiflora
Grossblütiges Fingerkraut	Potentilla grandiflora L.
Großblütiges Fingerkraut	Potentilla megalantha
Großblütiges Gewöhnliches Sonnenröschen	Helianthemum nummularium
Großblütiges Gewöhnliches Sonnenröschen	Helianthemum nummularium subsp. grandiflorum
Großblütiges Gewöhnliches Sonnenröschen	Helianthemum nummularium subsp. grandiflorum (Scop.) Schinz & Thell.
Großblütiges Habichtskraut	Hieracium macranthelum
Großblütiges Habichtskraut	Hieracium macranthelum Nägeli & Peter
Grossblütiges Heusenkraut	Ludwigia grandiflora
Großblütiges Heusenkraut	Ludwigia grandiflora
Grossblütiges Heusenkraut	Ludwigia grandiflora (Michx.) Greuter & Burdet
Grossblütiges Hirtentäschel	Capsella grandiflora
