Gewöhnlicher Blasenstrauch	Colutea arborescens
Gewöhnlicher Buchsbaum	Buxus sempervirens
Gewöhnlicher Efeu	Hedera helix
Gewöhnlicher Erbsenstrauch	Caragana arborescens
Gewöhnlicher Eukalyptus	Eucalyptus globulus
Gewöhnlicher Flieder	Syringa vulgaris
Gewöhnlicher Judasbaum	Cercis siliquastrum
Gewöhnlicher Liguster	Ligustrum vulgare
Gewöhnlicher Perückenstrauch	Cotinus coggygria
Gewöhnlicher Sommerflieder	Buddleja davidii
Gewürzstrauch	Senna x floribunda
Gezähnter Lavendel	Lavandula dentata
Ghost Tree	Corymbia dallachiana
Ginkgobaum	Ginkgo biloba L.
Glänzender Liguster	Ligustrum lucidum
Glatte Arizona-Zypresse	Cupressus glabra
Glocken-Heide	Erica tetralix
Gold-Birke Hybride	Betula ermanii
Gold-Johannisbeere	Ribes aureum
Gold-Ulme	Ulmus minor 'Wredei'
Goldlärche	Pseudolarix amabilis
Götterbaum	Ailanthus altissima
Granatapfel	Punica granatum
Grannen-Kiefer	Pinus aristata
Grau-Erle	Alnus incana
Grau-Pappel	Populus x canescens
Grau-Weide	Salix cinerea
Graue Zistrose	Cistus incanus
Großblättrige Magnolie	Magnolia macrophylla
Großblumiger Duft-Schneeball	Viburnum x carlcephalum
Großblütige Weißdorn-Mispel	Crataemespilus grandiflora
Großer Federbuschstrauch	Fothergilla major
Großfrüchtiges Pfaffenhütchen	Euonymus planipes
Grossers Ahorn	Acer davidii subsp. grosserii
Grün-Erle	Alnus viridis
Gummibaum	Ficus elastica
Gurken-Magnolie	Magnolia acuminata
Guttaperchabaum	Eucommia ulmoides
Hafer-Pflaume	Prunus domestica ssp. insititia
Hahnenkamm-Sicheltanne	Cryptomeria japonica f. cristata
Hainbuche	Carpinus betulus
Hainbuchenblättriger Ahorn	Acer carpinifolium
Hänge-Birke	Betula pendula
Weiß-Birke	Betula pendula
Hänge-Buche	Fagus sylvatica 'Pendula'
Hänge-Esche	Fraxinus excelsior f. pendula
Hänge-Fichte	Picea abies 'Inversa'
Hänge-Silber-Linde	Tilia tomentosa f. petiolaris
Hängekätzchen-Weide	Salix caprea 'Kilmarnock'
Harlekin-Weide	Salix integra 'Hakuro Nishiki'
Harringtons Kopfeibe	Cephalotaxus harringtonia
Heckrotts Geißblatt	Lonicera x heckrottii
Henrys Heckenkirsche	Lonicera henryi
Henrys Linde	Tilia henryana
Hiba-Lebensbaum	Thujopsis dolabrata
